Result,Mat,Inns,NO,100s,50s,0s,HS  ,Runs,Average,Strike Rate,% Team Runs
Won,136,114,51,0,17,1,75,2950,46.83,148.61,13.14
Lost,99,94,29,0,7,3,84,2054,31.6,120.33,13.55
