Result,Mat,Inns,NO,100s,50s,0s,HS  ,Runs,Average,Strike Rate,% Team Runs
Won,117,98,36,0,11,5,86,2170,35,144.67,11.26
Lost,110,109,9,0,9,8,97,2179,21.79,122.35,13.32
